model	task	template	fewshot	seed	postproc	timestamp	filename	BLEU
bloom	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.newline-cut-custom-truncate.tsv	22.94
bloom	diabla	xglm-source+target	0	1234	newline-cut	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.newline-cut.tsv	1.57
bloom	diabla	xglm-source+target	0	1234		2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.French-English.tsv	0.85
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.newline-cut-custom-truncate.tsv	34.92
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.newline-cut.tsv	34.96
mt0-xxl	diabla	xglm-source+target	0	1234		2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.French-English.tsv	34.96
opt	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut-custom-truncate.tsv	36.80
opt	diabla	xglm-source+target	0	1234	newline-cut	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut.tsv	35.67
opt	diabla	xglm-source+target	0	1234		2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.French-English.tsv	0.83
t0	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.newline-cut-custom-truncate.tsv	25.51
t0	diabla	xglm-source+target	0	1234	newline-cut	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.newline-cut.tsv	25.51
t0	diabla	xglm-source+target	0	1234		2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.French-English.tsv	25.51
