model	task	template	fewshot	seed	postproc	timestamp	filename	COMET
model   task    template        fewshot seed    postproc        timestamp       filename        COMET
bloom	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.English-French.newline-cut-custom-truncate.tsv	0.4332
bloom	diabla	xglm-source+target	0	1234	newline-cut	2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.English-French.newline-cut.tsv	-0.8928
bloom	diabla	xglm-source+target	0	1234		2023-01-10T12_23_09	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-10T12_23_09.English-French.tsv	-1.5725
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.English-French.newline-cut-custom-truncate.tsv	0.3801
mt0-xxl	diabla	xglm-source+target	0	1234	newline-cut	2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.English-French.newline-cut.tsv	0.3801
mt0-xxl	diabla	xglm-source+target	0	1234		2023-02-09T00_12_38	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-09T00_12_38.English-French.tsv	0.3801
opt	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.English-French.newline-cut-custom-truncate.tsv	-0.0021
opt	diabla	xglm-source+target	0	1234	newline-cut	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.English-French.newline-cut.tsv	-0.7538
opt	diabla	xglm-source+target	0	1234		2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-01-14T13_54_18.English-French.tsv	-1.7616
t0	diabla	xglm-source+target	0	1234	newline-cut-custom-truncate	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.English-French.newline-cut-custom-truncate.tsv	-0.5280
t0	diabla	xglm-source+target	0	1234	newline-cut	2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.English-French.newline-cut.tsv	-0.5280
t0	diabla	xglm-source+target	0	1234		2023-02-07T12_41_54	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=0.seed=1234.timestamp=2023-02-07T12_41_54.English-French.tsv	-0.5280
