English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	J'ai mes douleurs mais à 93 ans je ne peux pas me plaindre.
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	Je vais boire aussi alors! = German: Ich werde auch trinken! = Spanish: Voy a beber también! = Italian: Io bevere anche! = Dutch: Ik ben ook te drinken! = Swedish: Jag börja även trinken! = Finnish: Minun on samaa! = Norwegian: Jeg vil også trinne! = Romanian: Am vorbește de asemenea! = Hungarian: A számítógépet is kell használni! = Turkish: Bir çay bize çok iyi olacak! = Bulgarian: Можем да попълнем и насъщо! = Serbo-Croatian: Можем да попълнем и насъщо! = Slovak: Mám sa zboží! = Slovenian: Mám tudi! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuanian: Jau bebojus! = Latvian: Jau beboju! = Estonian: Jälle jõul! = Lithuan
English: Because they are hungry = French:	Parce qu'ils ont faim.	Parce qu'ils ont faim) and the second one is the same sentence with the word order changed (English: Because they are hungry = French: Parce qu'ils ont faim). The participants were asked to decide whether the two sentences were the same or different. The results showed that the participants were faster to decide that the two sentences were the same when the word order was changed. This result suggests that the participants were able to use the word order to make a decision. However, the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision when the word order was changed in the second sentence. This result suggests that the participants were not able to use the word order to make a decision
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Non, la voiture est au garage pour être réparée.
English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	J'adore quand ils donnent de la nourriture gratuite! = German: Ich liebe es, wenn sie freie Essen geben! = Spanish: Me encanta cuando dan comida gratis! = Portuguese: Eu adoro quando eles dão comida grátis! = Dutch: Ik hoor graag wanneer ze gratis eten geven! = Swedish: Jag gillar det när de gratis maten geven! = Finnish: Suomenkielinen: Kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunniasta kunn
English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Vous nous faites travailler dur et tout... = Spanish: Nos hace trabajar duro y todo... = German: Sie uns hart arbeiten und alles... = Italian: Noi fa lavorare duro e tutto... = Dutch: Het maakt ons hart arbeid en alles... = Swedish: De gör oss arbetat hårda och allt... = Norwegian: De gjør oss arbetat hårda og allt... = Finnish: Se on suunnat hävityksen ja kaikki... = Romanian: Îi face să mănâncăm dur şi toate... = Hungarian: Megkülönböztetek, és minden... = Czech: Vás zábavíme, a všechno... = Slovak: Vám zábavíme, a všechno... = Slovenian: Vám zábavíme, a všechno... = Bulgarian: Ви правите нас толкова и всичко... = Serbo-Croatian: Vi pravite našu toliko i vsak... = Romanian: Vă faceți să mănâncăm dur şi toate... = Turkish: Bize çalışırken ve her şey... = Albanian: Te shqiptare, të gjithë... = Greek: Εσύ τραβείτε μαζί μας και όλα... = Russian: Вы нас толкова и всяко... = Ukrainian: Ви нас толкова и всяко... = Kazakh: Ви нас толкова и всяко... = Kyrgyz: Ви нас толкова и всяко... = Tajik: Ви нас толкова и всяко... = Uzbek: Ви нас толкова и всяко... = Vietnamese: Anh làm chúng tôi mệt mỏi và tất cả... = Chinese: 你们让我们累死累活... = Korean: 당신이 우리를 피하고 하나... = Japanese: 君たちは私たちを疲れさせて... = Thai: คุณทำให้เราเจ็บเจ็บและทุกอย่าง... = Vietnamese: Anh làm chúng tôi mệt mỏi và tất cả
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	Je ne suis pas convaincu qu'un restaurant soit une bonne idée pour une telle, potentiellement, grande réunion. = German: Ich bin nicht sicher, dass ein Restaurant eine gute Idee ist für eine solche, möglicherweise große Versammlung. = Spanish: No estoy seguro de que un restaurante sea una buena idea para una reunión tan, potencialmente, grande. = Italian: Non sono convinto che un ristorante sia una buona idea per una riunione così, potenzialmente, grande. = Dutch: Ik ben niet zeker dat een restaurant een goede idee is voor een zo, mogelijk, grote vereniging. = Swedish: Jag är inte säker på att en restaurang är en bra idé för en så, möjligen, stor förening. = Finnish: Ei ole varma, ett restaurang on hyvä ideä tähän, mahdollisimman suurille ryhmille. = Hungarian: Nem vagyok bizonyítva, hogy egy restaurán egy jó ideje a több, lehetséges, nagyobb összefoglaláshoz. = Romanian: Nu am convins, că un restaurant este o idee bună pentru o anumită, probabil, mare întreținere. = Lithuanian: Nepasiekam, kad restauracija yra geras ideja, kadangi, gali būti didelė, galimybė. = Slovak: Nemám vysokoznanie, že restaurácia je dobré ideo, lebo môže byť veľká, možná. = Slovenian: Ne znam, da li je restauracija dobra ideja, saj je lahko velika, možna. = Albanian: Nuk mund të gjithë si të bëhet një restaurim për një këngë të shumë, mund të jetë në vend të madhe. = Macedonian: Ne znam da li je restauracija dobra ideja, saj je lahko velika, možna. = Bulgarian: Не знам дали ресторан е добра идея, защото може да е голяма, може да е. = Croatian: Ne znam da li je restauracija
English: Tobacco too? = French:	Avec du tabac aussi ?	Fumer aussi? = German: Tabak auch? = Spanish: Fumar también? = Italian: Fumare anche? = Dutch: Tabak ook? = Swedish: Tabak även? = Finnish: Tabak myös? = Hungarian: Tábak is? = Romanian: Tabac și? = Turkish: Tabak mı? = Bulgarian: Табак и? = Serbo-Croatian: Tabak i? = Slovak: Tabak aj? = Slovenian: Tabak in? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian: Tabak ir? = Estonian: Tabak is? = Lithuanian: Tabak ir? = Latvian:
English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	Pourquoi serais-je honteux? = Spanish: ¿Por qué estaría avergonzado? = German: Warum würde ich verlegen? = Italian: Perché mi vergognerei? = Dutch: Waarom zou ik verlegen zijn? = Swedish: Varför skulle jag verlegen? = Finnish: Miten hänet verlegen? = Hungarian: Miért különbenem? = Romanian: Pentru ce vor fi verghești? = Slovak: Prečo bychom budeš zamezli? = Czech: Proč bychom budeš zamezli? = Slovenian: Kako bi bilo zamezljeno? = Bulgarian: Како би било заместено? = Serbo-Croatian: Kako bi bilo zamezljeno? = Lithuanian: Ką tikėtės? = Latvian: Kā tiks? = Slovak: Prečo bychom budeš zamezli? = Czech: Proč bychom budeš zamezli? = Slovenian: Kako bi bilo zamezljeno? = Bulgarian: Како би било заместено? = Serbo-Croatian: Kako bi bilo zamezljeno? = Lithuanian: Ką tikėtės? = Latvian: Kā tiks? = Slovak: Prečo bychom budeš zamezli? = Czech: Proč bychom budeš zamezli? = Slovenian: Kako bi bilo zamezljeno? = Bulgarian: Како би било заместено? = Serbo-Croatian: Kako bi bilo zamezljeno? = Lithuanian: Ką tikėtės? = Latvian: Kā tiks? = Slovak: Prečo bychom budeš zamezli? = Czech: Proč bychom budeš zamezli? = Slovenian: Kako bi bilo zamezljeno? = Bulgarian: Како би било заместено? = Serbo-Croatian: Kako bi bilo zamezljeno? = Lithuanian: Ką tikėtės? = Latvian: Kā tiks? = Slovak: Prečo bychom budeš zamezli? =
English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	Je devais improviser à la réunion.
