French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	did you have any ideas already?
English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	J'ai mes douleurs mais à 93 ans je ne peux pas me plaindre.
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always one way, you annoy me and I realize that I would be better off far from you
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: Très bien. = English:	Very good.	Very well
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 in the test
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescues are the agents capable of moving the elevator to a floor and of opening the doors to free us.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes yes, we have already spent 3 hours at the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for repairing this elevator!
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice cream in your sleep?
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I would like to visit Hawaii!
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	Je vais boire aussi alors!
English: Because they are hungry = French:	Parce qu'ils ont faim.	Parce qu'ils ont faim) and the second one is the same sentence with the word order changed (English: Because they are hungry
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Non, la voiture est au garage pour être réparée.
French: Très bonne idée. = English:	Very good idea.	Good idea
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he will also take a mojito
French: C'est en train de devenir une sacrée fiesta! = English:	It's becoming a hell of a fiesta!	It's turning into a real party!
French: Oui je pensais plutôt au bouton d'alarme. = English:	Yes I was thinking more about the alarm button.	Yes, I was thinking more about the alarm button
English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	J'adore quand ils donnent de la nourriture gratuite!
English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Vous nous faites travailler dur et tout..
French: L'avantage c'est la liberté. = English:	The advantage is the freedom it gives.	The advantage is freedom
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	Je ne suis pas convaincu qu'un restaurant soit une bonne idée pour une telle, potentiellement, grande réunion
French: Vos copies et vos questions montrent que vous êtes brillante. = English:	Your classwork and your questions show that you are very bright.	Your copies and questions show that you are bright
English: Tobacco too? = French:	Avec du tabac aussi ?	Fumer aussi?
English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	Pourquoi serais-je honteux?
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English:	I don't feel there's enough staff.	I feel that the staff is not enough
French: il est parti au bout d'un quart d'heure d'attente = English:	He left after waiting for a quarter of an hour.	he left after 15 minutes of waiting); (2) the French sentence is a translation of the English sentence (French: il est parti au bout d'un quart d'heure d'attente
English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	Je devais improviser à la réunion.
English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Voulez-vous une fête en plein air, car le temps est si beau.
English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	Quel genre de musique est-ce que tu pensais?
French: OK, parfait. = English:	Ok, perfect.	OK, perfect
English: What do you think? = French:	Qu'est-ce que vous en pensez ?	Qu'est-ce que tu en penses?
English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Ne vous inquiétez pas, je ne le goûterai pas moi-même.
French: Génial! = English:	Great!	Fantastic!
French: Pas très bien non. = English:	Not really, no.	Not very well
English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	Le plan est de prendre un taxi pour aller chez elle.
French: Bon, à part ce petit problème de transport, comment vont tes relations avec ton patron. = English:	Well, aside the little transport problem, how are things with your boss?	Okay, apart from this little problem of transport, how are your relations with your boss.
French: Pas de soucis. = English:	No problem.	No problem
French: Ce cher Simon, comment va-t-il depuis tout ce temps ? = English:	Dear Simon, how is he since all this time?	How is dear Simon doing since all this time?
French: Et il y a souvent des enfants, parfois des adultes, qui sont bien contents que je leur donne un peu de pain à jeter aux canards. = English:	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	And there are often children, sometimes adults, who are glad to get a little bread to throw to the ducks.
French: Le bus est trop long. = English:	The bus takes too long.	The bus is too long
English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	Cette liftoffre souvent et la cloche dalarme ne fonctionne pas
French: Bon voyage à vous également. = English:	Have a good trip too!	Bon voyage to you as well
French: Il y a des grèves en ce moment. = English:	There are strikes on at the moment.	There are strikes at the moment
English: What about you? = French:	Et vous ?	Et vous?
English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	Je ne suis plus aussi jeune que je l'étais autrefois)
French: sur un même morceau de pain = English:	using the same piece of bread.	on the same piece of bread) is a French expression that means "very close" or "very similar". It is used to describe two things that are very similar or the same. It is also used to describe two people who are very close. It is a common expression in France and is used in everyday conversation. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in the French language to describe two people who are very close. It is also used in
English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	J'ai été barman pendant quelques années et j'ai travaillé dans beaucoup d'endroits différents
French: Avec quelques olives et des rondelles de saucisson si possible = English:	With some olives and sausage slices if possible.	With some olives and slices of salami if possible
English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Maintenant, qu'est-ce qu'on mange pour le dessert?
French: Il pourrait vous rassurer. = English:	That could help to reassure you.	He could reassure you
French: Votre salaire en dépend. = English:	Your salary depends on it.	Your salary depends on it
French: Fabuleux ! = English:	Great!	Fabulous!
French: Un taxi semble une bonne idée ! = English:	A taxi seems like a good idea!	A taxi seems like a good idea!
French: Je vois double depuis 5 ans environ. = English:	I've been seeing double for about 5 years.	I have double vision for about 5 years
French: C'est un secret! = English:	It's a secret!	It's a secret!
English: What do you usually do on holiday? = French:	Tu fais quoi d'habitude en vacances ?	Qu'est-ce que tu fais d'habitude en vacances?
English: Great! = French:	Génial !	Très bien!
English: Or both? = French:	Ou les deux ?	Ou les deux?
French: Ça devrait plaire! = English:	They should like that!	It should please!
French: Je ne veux pas me fatiguer = English:	I don't want to get tired out.	I don't want to get tired
French: Bon rendez-vous. = English:	Have a good meeting.	Good meeting
English: but we do not want the clients to know we are stuck in the lift do we? = French:	Mais nous ne voulons pas que nos clients sachent que nous sommes coincées dans l'ascenseur, n'est-ce pas ?	mais nous ne voulons pas que les clients sachent que nous sommes coincés dans l'ascenseur, n'est-ce pas?
French: Sinon, oui je me suis fait quelques amis ici avec qui je parle musique, littérature, sans oublier des parties d'échec ! = English:	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	Yes, I have made some friends here with whom I talk about music, literature, and of course chess games!
French: Merci de m'avoir écouté pour une fois! = English:	Thanks for listening to me for once!	Thank you for listening to me for once!
French: Vous devriez demander un verre de vin. = English:	You should ask for a glass of wine.	You should ask for a glass of wine.
French: allez je finis mon service = English:	Right, my shift's up.	I finish my service
French: Pas grave. = English:	Never mind.	No problem
French: Tu veux bien aller nous chercher des boissons? = English:	Are you up for fetching us some drinks?	Do you want to go and get us some drinks?
French: Bon, alors offrez des lentilles de contact à votre étudiant. = English:	Ok, then offer contact lentils to your student?	Okay, so give your student contact lenses.
French: Je veux dire qu'avant d'arriver en Australie, il nous reste à peine douze ou treize heures de vol! = English:	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	I mean that before we get to Australia, we have only about twelve or thirteen hours of flying left!
French: Peut être qu'il sera possible de te proposer quelque chose pour te soulager ? = English:	Perhaps they can suggest something to relieve the pain?	Maybe we can find something to help you?
English: Do you have your phone or watch? = French:	Vous avez votre téléphone ou votre montre ?	Avez-vous votre téléphone ou votre montre?
English: I must get home in time to prepare lunch or I'll get those fainting spells again = French:	Je dois être rentrée à la maison pour préparer le déjeuner sinon je vais encore faire un malaise.	Je dois rentrer à la maison à temps pour préparer le déjeuner ou je vais avoir des étourdissements à nouveau
English: the only people buy your crappy paintings is because they feel pity for you = French:	La seule raison pour laquelle les gens achètent tes peintures merdiques c'est parce qu'elles ont pitié de toi.	les seuls gens qui achètent tes affreuses peintures, c'est parce qu'ils ont pitié de toi
English: Only kidding... but they do allow you to bring your own entertainment if you want. = French:	Je blague... mais ils autorisent qu'on vienne avec ses propres animations.	Je plaisante..
French: Avec les œufs ? = English:	With eggs?	With the eggs?
French: Et dix points sur la capacité à avoir travaillé en équipe. = English:	And ten points for your ability to work as a team.	And ten points for teamwork
English: They don't call you Einstein for ... No they don't call you Einstein at all. = French:	Si on t'appelle Einstein, c'est... Non mais en fait on ne t'appelle pas Einstein du tout.	Ils ne t'appellent pas Einstein pour rien
English: I think this consultation has been worth every penny. = French:	Je pense que cette conversation valait largement son prix.	Je pense que cette consultation a été bien payée.
French: Voilà le fenouil. = English:	There's the fennel.	Here is the fennel
English: It would be funny though and it would get other students to pay attention = French:	Ce serait drôle pourtant et cela rendrait les autres étudiants plus attentifs.	Ça serait drôle et ça ferait que les autres élèves prêteraient attention
French: Mais je vais me prendre un whisky quand même. = English:	But I'm going to have a whisky anyway.	But I will have a whisky anyway.
English: Please just make yourself at home. = French:	Faites comme chez vous.	S'il vous plaît, faites comme chez vous
English: I'm hopeless when it comes to directions. = French:	Je n'ai aucun sens de l'orientation.	Je suis perdu quand il s'agit de directions
English: Why were you cooking cream? = French:	Pourquoi faisiez-vous de la crème ?	Pourquoi faisiez-vous de la crème?
English: Especially at our ages! = French:	Surtout à notre âge !	Surtout à notre âge!
English: Bye = French:	Au revoir.	Au revoir
French: Faisons ça. = English:	Let's do that.	Let's do it
French: Ce sera mon dernier mot = English:	That'll be my last word on the matter.	It will be my last word
English: Really! = French:	Vraiment !	Vraiment!
English: You can never get any peace around here! = French:	On ne peut jamais être tranquille, ici !	Vous ne pouvez jamais avoir la paix ici!
French: Je suis une starsur instargram et autres réseaux sociaux ! = English:	I'm a star on Instagram and other social networking sites!	I am a star on Instagram and other social networks!
English: Chocolate? = French:	Au chocolat ?	Chocolat?
French: De quelle époque ? = English:	From which period?	When?
French: Je suis très inquiet face à la disparition des abeilles... = English:	I'm very worried about the disappearance of bees...	I am very worried about the disappearance of bees...
English: Quickly Tristan take hold of my arm, I will assemble my parachute = French:	Vite Tristan, accrochez-vous à mon bras, je vais préparer mon parachute.	Tristan, prends vite mon bras, je vais me préparer mon parachute
English: What do you suggest ...other than staying by the pool of course! = French:	Qu'est-ce que tu proposes... à part rester au bord de la piscine, bien sûr !	Que suggérez-vous...à part rester à la piscine bien sûr!
French: Vous croyez que je devrais prendre des vacances? = English:	Do you think I should take some holiday?	Do you think I should take a vacation?
English: Uh huh... go on. = French:	Très bien, poursuivez.	Oui..
English: I can give you some anti depressants. = French:	Je peux vous donner des anti-dépresseurs.	Je peux vous donner des anti dépresseurs
French: Ah oui ça devient vraiment inquiétant = English:	Ah yes, it's getting quite worrying.	Yes, it is really worrying
French: Les appareils électroniques contiennent de nombreux produits toxiques, par exemple dans les batteries, les écrans, les processeurs. = English:	Electronic devices contain a number of toxic substances, for example in the batteries, screen and processors.	Electronic devices contain many toxic products, for example in batteries, screens, processors.
French: Je l'admire beaucoup. = English:	I admire her a lot.	I admire him very much
English: And don't worry, I'll do it quickly! = French:	Ne t'inquiète pas, je vais le faire rapidement.	Et ne vous inquiétez pas, je vais le faire rapidement!
French: Coucou, comment s'est passée ta journée ? = English:	Hi, how did you day go?	Hi, how was your day?
French: Sans menthe ? = English:	No mint?	Without mint?
English: I build sand castles eat lollies and go for walks, as I said. = French:	Je construis des châteaux de sable, je mange des glaces et je fais des balades, comme je te l'ai dit.	Je construis des châteaux de sable, je mange des bonbons et je fais des promenades, comme je l'ai dit.
English: But the reality is bit less romantic - it's mostly deafness, forgetfulness, and aches and pains. = French:	Mais la réalité est un peu moins romantique. Elle est faite de surdité, de trous de mémoire et de douleurs.	Mais la réalité est un peu moins romantique - c'est surtout la surdité, l'oubli, et les douleurs et les maux.
French: ah ! = English:	Oh!	oh!) and the French word for "good" (bon) are pronounced the same way. The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced the same way as the English word for "good". The French word for "good" is pronounced
English: What a relief! = French:	Quel soulagement !	Quel soulagement!
French: Vous êtes étudiant? = English:	Are you a student?	Are you a student?
English: OK. = French:	OK.	OK
English: But there's still some space for some more berries if you like. = French:	Mais il y a encore de la place pour d'autres baies si tu veux.	Mais il y a encore de la place pour quelques baies si vous voulez.
French: Sur les chats ? = English:	About cats?	On cats?
French: Oui, mais économisons-là car cela consomme beaucoup de batterie. = English:	Yes, but use it sparingly, because it uses lots of battery.	Yes, but let's save it because it consumes a lot of battery.
English: Could I also look at the food menu, as perhaps I should eat something? = French:	Puis-je également jeter un œil au menu, car je devrais peut-être manger quelque chose.	Puis-je aussi regarder le menu, car peut-être que je devrais manger quelque chose?
English: She had long blonde hair tied in a bun. = French:	Elle avait de longs cheveux blonds remontés en chignon.	Elle avait les cheveux longs et blonds, attachés en chignon
English: You will have to keep the wine and cigars a secret from the staff here. = French:	Il faudra que tu ne dises rien au personnel à propos du vin et des cigares.	Vous devrez garder le vin et les cigares secrets auprès du personnel ici.
French: Et une tisane à la camomille avant de dormir! = English:	And a camomile tea before going to sleep!	And a chamomile tea before bedtime!
French: Je vous ai demandé il y a 5 minutes de les émincer et de les faire revenir à la poêle. = English:	I asked you five minutes ago to chop them and fry them in a pan!	I asked you 5 minutes ago to mince them and fry them in a pan.
English: I adore chocolate = French:	J'adore le chocolat !	Je suis fou de chocolat) and the other is a verb (English: I adore chocolate
French: Pourriez vous m'en servir une pinte ? = English:	Could you serve me a pint of that?	Could you serve me a pint of beer?
English: Sorry got to go. = French:	Je suis désolée, je dois y aller.	Désolé, je dois y aller
English: What are you planning on doing? = French:	Qu'est-ce que tu as prévu ?	Qu'est-ce que tu vas faire?
French: après la soirée de l'école = English:	after the school party.	after the school party
French: Je ne sais pas quoi faire, que pouvez vous me conseiller ? = English:	I don't know what to do. What do you suggest I do?	I don't know what to do, what can you advise me?
English: I only work here to provide enough money for food and rent, then I disappear into the forest to consider existence. = French:	Je ne travaille ici que pour gagner assez d'argent pour la nourriture et le loyer, ensuite je disparais dans la forêt pour réfléchir sur l'existence.	Je ne travaille ici que pour gagner assez d'argent pour manger et payer le loyer, puis je disparais dans la forêt pour réfléchir à l'existence
French: oui je crois qu'il y a des sandwichs = English:	Yes I think there are sandwiches.	yes I think there are sandwiches
French: D'accord, mais est-ce qu'il y a un guide pour nous aider ? = English:	Ok, but is there a guide to help us?	Okay, but is there a guide to help us?
