French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	Do you have any specific ideas?
English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui vient de s'aventurer là-bas?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	J'ai des douleurs et des aches, mais à 93 ans, je ne peux pas me plaindre.
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	With you it's always one way, you make me angry and I realize I'd be better off without you.
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: Très bien. = English:	Very good.	Very well.
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The emergency crew is the agency that can move the elevator up a floor and open the doors to get us out.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes, we've already spent 3 hours in the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for repairing this elevator!
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	Do you eat ice cream while you sleep?
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I'd like to visit Hawaii!
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	Je devrais alors boire aussi!
English: Because they are hungry = French:	Parce qu'ils ont faim.	parce qu'ils ont faim
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Non, la voiture est dans le garage.
French: Très bonne idée. = English:	Very good idea.	It's a very good idea.
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he'll also take a mojito.
French: C'est en train de devenir une sacrée fiesta! = English:	It's becoming a hell of a fiesta!	It's going to be a huge party!
French: Oui je pensais plutôt au bouton d'alarme. = English:	Yes I was thinking more about the alarm button.	No, I thought it was a clock.
English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	J'adore quand ils donnent de la nourriture gratuite!
English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Vous travaillez très dur et tout le reste...
French: L'avantage c'est la liberté. = English:	The advantage is the freedom it gives.	The advantage is freedom.
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	Je ne suis pas convaincu que le restaurant soit une bonne idée pour une telle réunion.
French: Vos copies et vos questions montrent que vous êtes brillante. = English:	Your classwork and your questions show that you are very bright.	Your essays and questions show that you are a bright person.
English: Tobacco too? = French:	Avec du tabac aussi ?	- Le tabac aussi?
English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	Pourquoi j'en suis vraiment gênée?
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English:	I don't feel there's enough staff.	I don't think the staff is enough.
French: il est parti au bout d'un quart d'heure d'attente = English:	He left after waiting for a quarter of an hour.	He left after a quarter hour of waiting.
English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	J'ai dû faire une pause à la réunion.
English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Vous voulez une fête à l'extérieur, car le temps est très beau?
English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	Quelle genre de musique était-il en train de penser?
French: OK, parfait. = English:	Ok, perfect.	OK, perfect.
English: What do you think? = French:	Qu'est-ce que vous en pensez ?	Qu'est-ce que vous pensez?
English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Ne t'inquiète pas, je ne le gouterais pas.
French: Génial! = English:	Great!	Great!
French: Pas très bien non. = English:	Not really, no.	Not very good.
English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	Le plan est de prendre un taxi pour son appartement.
French: Bon, à part ce petit problème de transport, comment vont tes relations avec ton patron. = English:	Well, aside the little transport problem, how are things with your boss?	Well, apart from that little transport problem, how are your relationships with your boss?
French: Pas de soucis. = English:	No problem.	No worries.
French: Ce cher Simon, comment va-t-il depuis tout ce temps ? = English:	Dear Simon, how is he since all this time?	What's up with Simon?
French: Et il y a souvent des enfants, parfois des adultes, qui sont bien contents que je leur donne un peu de pain à jeter aux canards. = English:	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	And there are often children, sometimes adults, who are very happy if I give them some bread to throw at the birds.
French: Le bus est trop long. = English:	The bus takes too long.	The bus is too long.
English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	Le système de ventilation s'écroule souvent et la sonnette d'alarme ne fonctionne pas.
French: Bon voyage à vous également. = English:	Have a good trip too!	Good luck to you too.
French: Il y a des grèves en ce moment. = English:	There are strikes on at the moment.	There are strikes now.
English: What about you? = French:	Et vous ?	Et vous?
English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	Je ne suis plus aussi jeune que je l'étais.
French: sur un même morceau de pain = English:	using the same piece of bread.	on the same slice of bread
English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	J'ai été barmaid pendant plusieurs années et j'ai travaillé dans de nombreux endroits.
French: Avec quelques olives et des rondelles de saucisson si possible = English:	With some olives and sausage slices if possible.	With some olives and slices of bacon if possible.
English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Et pour le dessert?
French: Il pourrait vous rassurer. = English:	That could help to reassure you.	He might be able to comfort you.
French: Votre salaire en dépend. = English:	Your salary depends on it.	Your salary depends on it.
French: Fabuleux ! = English:	Great!	Awesome!
French: Un taxi semble une bonne idée ! = English:	A taxi seems like a good idea!	Taxi seems like a good idea!
French: Je vois double depuis 5 ans environ. = English:	I've been seeing double for about 5 years.	I've been seeing double for about 5 years.
French: C'est un secret! = English:	It's a secret!	It's a secret!
English: What do you usually do on holiday? = French:	Tu fais quoi d'habitude en vacances ?	Qu'est-ce que vous faites habituellement en vacances?
English: Great! = French:	Génial !	C'est très bien!
English: Or both? = French:	Ou les deux ?	ou les deux?
French: Ça devrait plaire! = English:	They should like that!	It should be a good time!
French: Je ne veux pas me fatiguer = English:	I don't want to get tired out.	I don't want to get tired
French: Bon rendez-vous. = English:	Have a good meeting.	Good appointment.
English: but we do not want the clients to know we are stuck in the lift do we? = French:	Mais nous ne voulons pas que nos clients sachent que nous sommes coincées dans l'ascenseur, n'est-ce pas ?	Mais nous ne voulons pas que les clients sachent que nous sommes bloqués dans l'ascenseur, n'est-ce pas?
French: Sinon, oui je me suis fait quelques amis ici avec qui je parle musique, littérature, sans oublier des parties d'échec ! = English:	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	But, yes, I have made a few friends here with whom I talk about music, literature, and not to mention chess!
French: Merci de m'avoir écouté pour une fois! = English:	Thanks for listening to me for once!	Thank you for listening to me!
French: Vous devriez demander un verre de vin. = English:	You should ask for a glass of wine.	You should ask for a glass of wine.
French: allez je finis mon service = English:	Right, my shift's up.	I'm going to finish my job.
French: Pas grave. = English:	Never mind.	It's not serious.
French: Tu veux bien aller nous chercher des boissons? = English:	Are you up for fetching us some drinks?	Would you mind getting us some drinks?
French: Bon, alors offrez des lentilles de contact à votre étudiant. = English:	Ok, then offer contact lentils to your student?	Well, then offer your student contact lenses.
French: Je veux dire qu'avant d'arriver en Australie, il nous reste à peine douze ou treize heures de vol! = English:	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	That means we have about 12 or 13 hours of flight to go before we get to Australia!
