French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	Did you already have some specific ideas?
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always a one-way street, you always annoy me and I realize that I will be much better off without you
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: Très bien. = English:	Very good.	Very good.
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescuers are the agents capable of moving the elevator up to a floor and opening the doors for us to be released.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes, we have already spent 3 hours in the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for the repair of this escalator!
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice cream during your sleep?
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I'd like to visit Hawaii!
French: Très bonne idée. = English:	Very good idea.	Very good idea.
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he will also take a mojito
French: C'est en train de devenir une sacrée fiesta! = English:	It's becoming a hell of a fiesta!	It's turning into a real party!
French: Oui je pensais plutôt au bouton d'alarme. = English:	Yes I was thinking more about the alarm button.	Yes, I thought more about the alarm button.
French: L'avantage c'est la liberté. = English:	The advantage is the freedom it gives.	The advantage is freedom.
French: Vos copies et vos questions montrent que vous êtes brillante. = English:	Your classwork and your questions show that you are very bright.	Your copies and your questions show that you are brilliant.
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English:	I don't feel there's enough staff.	I have the impression that the staff is not enough.
French: il est parti au bout d'un quart d'heure d'attente = English:	He left after waiting for a quarter of an hour.	He left after waiting for a quarter of an hour.
French: OK, parfait. = English:	Ok, perfect.	Perfect.
French: Génial! = English:	Great!	Great!
French: Pas très bien non. = English:	Not really, no.	Not very well.
French: Bon, à part ce petit problème de transport, comment vont tes relations avec ton patron. = English:	Well, aside the little transport problem, how are things with your boss?	How are your relations with your boss?
French: Pas de soucis. = English:	No problem.	No problem.
French: Ce cher Simon, comment va-t-il depuis tout ce temps ? = English:	Dear Simon, how is he since all this time?	Dear Simon, how are you doing since all this time?
French: Et il y a souvent des enfants, parfois des adultes, qui sont bien contents que je leur donne un peu de pain à jeter aux canards. = English:	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	And there are often children, sometimes adults, who are very happy that I give them a little bread to throw to the ducks.
French: Le bus est trop long. = English:	The bus takes too long.	The bus is too long.
French: Bon voyage à vous également. = English:	Have a good trip too!	Good bye to you too.
French: Il y a des grèves en ce moment. = English:	There are strikes on at the moment.	There are strikes going on right now.
French: sur un même morceau de pain = English:	using the same piece of bread.	on the same piece of bread
French: Avec quelques olives et des rondelles de saucisson si possible = English:	With some olives and sausage slices if possible.	With a few olives and some sausage if possible
French: Il pourrait vous rassurer. = English:	That could help to reassure you.	He could reassure you.
French: Votre salaire en dépend. = English:	Your salary depends on it.	Your salary depends on it.
French: Fabuleux ! = English:	Great!	Fabulous!)
French: Un taxi semble une bonne idée ! = English:	A taxi seems like a good idea!	A taxi seems like a good idea!
French: Je vois double depuis 5 ans environ. = English:	I've been seeing double for about 5 years.	I see double for 5 years now.
French: C'est un secret! = English:	It's a secret!	It's a secret!
French: Ça devrait plaire! = English:	They should like that!	It should please you!
French: Je ne veux pas me fatiguer = English:	I don't want to get tired out.	I don't want to tire myself out.
French: Bon rendez-vous. = English:	Have a good meeting.	See you soon.
French: Sinon, oui je me suis fait quelques amis ici avec qui je parle musique, littérature, sans oublier des parties d'échec ! = English:	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	Yes, I have made some friends here with whom I talk music, literature, and of course, some games of chess!
French: Merci de m'avoir écouté pour une fois! = English:	Thanks for listening to me for once!	Thank you for listening to me for once!
French: Vous devriez demander un verre de vin. = English:	You should ask for a glass of wine.	You should ask for a glass of wine.
French: allez je finis mon service = English:	Right, my shift's up.	I'm done with my shift
French: Pas grave. = English:	Never mind.	Not serious.
French: Tu veux bien aller nous chercher des boissons? = English:	Are you up for fetching us some drinks?	Do you want to go get some drinks?
French: Bon, alors offrez des lentilles de contact à votre étudiant. = English:	Ok, then offer contact lentils to your student?	Good, then offer your student contact lenses.
French: Je veux dire qu'avant d'arriver en Australie, il nous reste à peine douze ou treize heures de vol! = English:	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	I mean to say that before we arrive in Australia, we have barely twelve or thirteen hours of flying time left!
French: Peut être qu'il sera possible de te proposer quelque chose pour te soulager ? = English:	Perhaps they can suggest something to relieve the pain?	Maybe it will be possible to offer you something to relieve you?
French: Avec les œufs ? = English:	With eggs?	With eggs?
French: Et dix points sur la capacité à avoir travaillé en équipe. = English:	And ten points for your ability to work as a team.	And ten points for working in a team.
French: Voilà le fenouil. = English:	There's the fennel.	Here is the fox.
French: Mais je vais me prendre un whisky quand même. = English:	But I'm going to have a whisky anyway.	But I'm going to get myself a whisky anyway.
French: Faisons ça. = English:	Let's do that.	Let's do it.
French: Ce sera mon dernier mot = English:	That'll be my last word on the matter.	This will be my last word
French: Je suis une starsur instargram et autres réseaux sociaux ! = English:	I'm a star on Instagram and other social networking sites!	I am a star on instagram and other social networks!
French: De quelle époque ? = English:	From which period?	What time period?
French: Je suis très inquiet face à la disparition des abeilles... = English:	I'm very worried about the disappearance of bees...	I am very worried about the disappearance of the bees...
French: Vous croyez que je devrais prendre des vacances? = English:	Do you think I should take some holiday?	Do you think I should take a vacation?
French: Ah oui ça devient vraiment inquiétant = English:	Ah yes, it's getting quite worrying.	Yes, it really becomes very alarming
French: Les appareils électroniques contiennent de nombreux produits toxiques, par exemple dans les batteries, les écrans, les processeurs. = English:	Electronic devices contain a number of toxic substances, for example in the batteries, screen and processors.	Electronic devices contain many toxic substances, for example in batteries, screens, processors.
French: Je l'admire beaucoup. = English:	I admire her a lot.	I admire him a lot.
French: Coucou, comment s'est passée ta journée ? = English:	Hi, how did you day go?	Hello, how was your day?
French: Sans menthe ? = English:	No mint?	Without mint?
French: ah ! = English:	Oh!	oh!)
French: Vous êtes étudiant? = English:	Are you a student?	Are you a student?
French: Sur les chats ? = English:	About cats?	On the cats?
French: Oui, mais économisons-là car cela consomme beaucoup de batterie. = English:	Yes, but use it sparingly, because it uses lots of battery.	Yes, but save battery because it consumes a lot of battery.
French: Et une tisane à la camomille avant de dormir! = English:	And a camomile tea before going to sleep!	And a camomile tea before bedtime!
French: Je vous ai demandé il y a 5 minutes de les émincer et de les faire revenir à la poêle. = English:	I asked you five minutes ago to chop them and fry them in a pan!	I asked you 5 minutes ago to remove the onions and bring them back to the stove.
French: Pourriez vous m'en servir une pinte ? = English:	Could you serve me a pint of that?	Could you please serve me a pint?
French: après la soirée de l'école = English:	after the school party.	after the school party
French: Je ne sais pas quoi faire, que pouvez vous me conseiller ? = English:	I don't know what to do. What do you suggest I do?	I don't know what to do, what can you suggest?
French: oui je crois qu'il y a des sandwichs = English:	Yes I think there are sandwiches.	yes I think there are sandwiches
French: D'accord, mais est-ce qu'il y a un guide pour nous aider ? = English:	Ok, but is there a guide to help us?	Okay, but is there a guide to help us?
French: Pour le non alcoolisé, c'est très bien d'y avoir pensé = English:	That's a good to have thought about non-alcoholic stuff.	For the non-alcoholic, it's very good to have thought about it.
French: j'ai commencé à lui hurler dessus = English:	I started to shout at him.	I started yelling at him
French: Nous n'avons peut-être pas le même opérateur. = English:	We might not have the same operator.	We may not have the same operator.
French: Il a un perroquet? = English:	Does he have a parrot?	He has a parrot?
French: oui! = English:	Yes!	yes!
French: C'était une personne âgée qui n'entendait rien et ne faisait pas de bruit. = English:	It was an elderly woman who couldn't hear a thing and didn't make any noise.	It was an old person who didn't hear anything and didn't make any noise.
French: C'est juste que la caipirinha, ça me rappelle mes voyages au Brésil = English:	It's just that caipirinha reminds me of my travels in Brazil.	It's just that the caipirinha, it reminds me of my trips to Brazil
French: Et en plus on n'a pas de réseau = English:	And there's no signal.	And in addition we don't have a network
French: Après quelques verres ils seront surement prêts pour du karaoké ! = English:	After a couple of drinks, they'll surely be up for karaoke!	After a few beers they will be ready for some karaoke!
French: C'est la première fois que je consulte je suis un peu nerveuse. = English:	It's the first time I'm seeing someone. I'm a bit nervous.	This is the first time I consult, I am a little nervous.
French: Où voudrais-tu aller après ? = English:	Where do you want to go afterwards?	Where would you like to go after?
French: Je vais faire venir l'hôtesse de l'air. = English:	I'll get the air stewardess.	I'm going to bring the hostess of the air.
French: Où as-tu appris tout cela ? = English:	Where did you learn all that?	Where did you learn all that?
French: Je suis sûr, vu la qualité de votre mémoire sur ce sujet, que vous êtes passionnés par l'avenir des vers de terre. = English:	I'm certain, given the quality of your essay on the subject, that you are passionate about the future of earthworms.	I am sure, given your poor memory on this subject, that you are passionate about the future of the earth's verses.
French: C'est seulement de temps en temps. = English:	It's only from time to time.	It's only sometimes.
French: Allez, amusez-vous bien! = English:	Right, have a good time!	Have fun!
French: Je suis vraiment heureuse : ce soir, j'organise une fête chez moi ! = English:	I'm really happy: tonight I'm organising a party at mine!	I am really happy: tonight, I am organizing a party at my house!
French: Bonjour chef. = English:	Hello chef!	Hello chef.
French: Que s'est-il passé à l'époque ? = English:	What happened at the time?	What happened at that time?
French: Je ne suis qu'un employé parmi d'autres, dans ce département. = English:	I'm just one of many employees in this department.	I am only an employee among others, in this department.
French: et qu'il commence à faire un peu froid. = English:	And it's starting to get a bit chilly.	and it is beginning to get a little cold.
French: ça me va ! = English:	Suits me!	it's going well!
French: Extrême !? = English:	Extreme!?	Extreme!
French: Étonnant ! = English:	Very surprising!	Strange!)
French: Je n'aime pas du tout prendre l'avion surtout par mauvais temps comme aujourd'hui = English:	I don't like flying at all, especially when the weather's bad like today.	I don't like at all taking the plane especially in bad weather like today
French: Bon, je crois que j'ai maintenant tout ce qu'il faut pour régler ce problème! = English:	Well, I think I have everything I need to solve the problem now!	I think I have now everything I need to solve this problem!
French: Peut-être que la pollution a augmenté ? = English:	Perhaps pollution has increased?	Maybe pollution has increased?
French: Le problème, c'est la lumière. = English:	The problem is light.	The problem is the light.
French: Elle vous suit? = English:	She follows you?	She's following you?
French: Ben regardez, vous êtes devant! = English:	Well look, you're just in front of it.	Look, you are in front!
French: Avec la nuit qui tombe, il risque de faire froid assez vite maintenant. = English:	With night falling, it could get cold pretty quickly now.	With the night falling, he risks getting cold quite quickly now.
French: L'entrée c'est juste deux soupes de melon. = English:	The starter's just two melon soups.	The entrance is just two melon soups.
French: C'est tellement bon ! = English:	It's so good!	It's so good!
French: Je reviendrai. = English:	I'll come back.	I will return.
French: C'est vrai? = English:	Really?	Is that true?
French: Tu joues toujours au piano j'espère ? = English:	You still play the piano, I hope?	Do you still play the piano?
