French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	Did you already have some specific ideas?
English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	Est-ce votre chien qui s'est égaré là-bas?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	Je me souviens de mes douleurs et de mes maladies mais à 93, je ne peux pas gronder
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always a one-way street, you always annoy me and I realize that I will be much better off without you
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: Très bien. = English:	Very good.	Very good.
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescuers are the agents capable of moving the elevator up to a floor and opening the doors for us to be released.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes, we have already spent 3 hours in the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for the repair of this escalator!
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice cream during your sleep?
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I'd like to visit Hawaii!
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	Je dois boire aussi alors!
English: Because they are hungry = French:	Parce qu'ils ont faim.	Parce qu'ils mangent
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Non, le véhicule est à l'entrepôt pour être réparé.
French: Très bonne idée. = English:	Very good idea.	Very good idea.
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he will also take a mojito
