English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	Is that your dog that just wandered in over there?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	I've got my aches and pains, but at 93 I can't grumble
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	I'd better get drinking too then
English: Because they are hungry = French:	Parce qu'ils ont faim.	Because they are hungry
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Yes
English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	I love it when they give free food.
English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Well, you do work us hard and everything.
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	I'm not convinced a restaurant is a great idea for such a potentially large gathering.
English: Tobacco too? = French:	Avec du tabac aussi ?	Tobacco too
English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	I am not a good swimmer
English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	I had to wing it at the meeting.
English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Yes, I'd like to have an outdoor party.
English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	I was thinking of classical music.
English: What do you think? = French:	Qu'est-ce que vous en pensez ?	What do you think?
English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Don't worry, I wouldn't taste it myself.
English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	The plan is to take a taxi to her flat.
English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	This lift often breaks and the alarm bell does not work
English: What about you? = French:	Et vous ?	What about you?
English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	I am not as young as I used to be.
English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	I have been a bartender for a few years and I've worked in a lot of different places.
English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Now what for dessert?
English: What do you usually do on holiday? = French:	Tu fais quoi d'habitude en vacances ?	I usually go to the beach.
English: Great! = French:	Génial !	Great!
English: Or both? = French:	Ou les deux ?	Or both
