French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	Having already precise ideas, you can now proceed to the next step.
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it is always a unique feeling, you make me nervous and i realize i will be better off away from you
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Yes, he is here today.
French: Très bien. = English:	Very good.	Très bien
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I got 12/20 at the control.
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescuers are the people who can move the elevator to an upper floor and open the doors to let us out.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	We have already spent 3 hours at the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for the repair of this elevator.
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice cream during your sleep.
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I would like to visit Hawaii.
French: Très bonne idée. = English:	Very good idea.	Very good idea.
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he will also take a mojito
French: C'est en train de devenir une sacrée fiesta! = English:	It's becoming a hell of a fiesta!	It is in the process of becoming a sacred fiesta.
French: Oui je pensais plutôt au bouton d'alarme. = English:	Yes I was thinking more about the alarm button.	No, I was rather at the alarm button.
French: L'avantage c'est la liberté. = English:	The advantage is the freedom it gives.	The advantage is that it is free.
French: Vos copies et vos questions montrent que vous êtes brillante. = English:	Your classwork and your questions show that you are very bright.	Your copies and your questions show that you are brilliant.
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English:	I don't feel there's enough staff.	I have the impression that the personnel is not enough.
French: il est parti au bout d'un quart d'heure d'attente = English:	He left after waiting for a quarter of an hour.	he left after a quarter of an hour of waiting
French: OK, parfait. = English:	Ok, perfect.	OK, perfect
French: Génial! = English:	Great!	The food was great.
French: Pas très bien non. = English:	Not really, no.	Not very well, not at all
French: Bon, à part ce petit problème de transport, comment vont tes relations avec ton patron. = English:	Well, aside the little transport problem, how are things with your boss?	Good, apart from this little transport problem, how are your relations with your boss?
French: Pas de soucis. = English:	No problem.	No worries
French: Ce cher Simon, comment va-t-il depuis tout ce temps ? = English:	Dear Simon, how is he since all this time?	Simon, how is he doing since all this time?
French: Et il y a souvent des enfants, parfois des adultes, qui sont bien contents que je leur donne un peu de pain à jeter aux canards. = English:	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	There are often children, sometimes adults, who are happy that I give them a bit of bread to throw to the ducks.
French: Le bus est trop long. = English:	The bus takes too long.	The bus is too long.
French: Bon voyage à vous également. = English:	Have a good trip too!	Good journey to you too!
French: Il y a des grèves en ce moment. = English:	There are strikes on at the moment.	There are protests going on at this moment.
French: sur un même morceau de pain = English:	using the same piece of bread.	no
French: Avec quelques olives et des rondelles de saucisson si possible = English:	With some olives and sausage slices if possible.	With some olives and some sausages if possible
French: Il pourrait vous rassurer. = English:	That could help to reassure you.	He could reassure you.
French: Votre salaire en dépend. = English:	Your salary depends on it.	Your salary depends on it.
French: Fabuleux ! = English:	Great!	The Fab Four
French: Un taxi semble une bonne idée ! = English:	A taxi seems like a good idea!	A taxi seems like a good idea.
French: Je vois double depuis 5 ans environ. = English:	I've been seeing double for about 5 years.	I see double for about 5 years now
French: C'est un secret! = English:	It's a secret!	It's a secret
French: Ça devrait plaire! = English:	They should like that!	a devrait plaire
French: Je ne veux pas me fatiguer = English:	I don't want to get tired out.	I don't want to fatigue myself.
French: Bon rendez-vous. = English:	Have a good meeting.	Good meeting
French: Sinon, oui je me suis fait quelques amis ici avec qui je parle musique, littérature, sans oublier des parties d'échec ! = English:	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	I have made some friends here with whom I can talk about music, literature and not forgetting the games of échecs.
French: Merci de m'avoir écouté pour une fois! = English:	Thanks for listening to me for once!	I am grateful to have been heard once.
French: Vous devriez demander un verre de vin. = English:	You should ask for a glass of wine.	You should ask for a glass of wine.
French: allez je finis mon service = English:	Right, my shift's up.	I'm going to finish my service now
French: Pas grave. = English:	Never mind.	Not serious
French: Tu veux bien aller nous chercher des boissons? = English:	Are you up for fetching us some drinks?	Tu veux bien aller nous chercher des boissons?
French: Bon, alors offrez des lentilles de contact à votre étudiant. = English:	Ok, then offer contact lentils to your student?	Well then, give your student some contact lenses.
French: Je veux dire qu'avant d'arriver en Australie, il nous reste à peine douze ou treize heures de vol! = English:	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	Before arriving in Australia, we had only a dozen or so flights left.
French: Peut être qu'il sera possible de te proposer quelque chose pour te soulager ? = English:	Perhaps they can suggest something to relieve the pain?	Maybe it will be possible to offer something to relieve your pain.
French: Avec les œufs ? = English:	With eggs?	With the ostriches
French: Et dix points sur la capacité à avoir travaillé en équipe. = English:	And ten points for your ability to work as a team.	And ten points on the ability to work in an team.
French: Voilà le fenouil. = English:	There's the fennel.	This is the fenouil.
French: Mais je vais me prendre un whisky quand même. = English:	But I'm going to have a whisky anyway.	I'm going to have a whisky anyway.
French: Faisons ça. = English:	Let's do that.	Fancy that?
French: Ce sera mon dernier mot = English:	That'll be my last word on the matter.	This will be my last word
French: Je suis une starsur instargram et autres réseaux sociaux ! = English:	I'm a star on Instagram and other social networking sites!	I am an Instagram star and other social media stars.
French: De quelle époque ? = English:	From which period?	From what era is it?
French: Je suis très inquiet face à la disparition des abeilles... = English:	I'm very worried about the disappearance of bees...	I am very worried about the disappearance of bees.
French: Vous croyez que je devrais prendre des vacances? = English:	Do you think I should take some holiday?	I think I should take a vacation.
French: Ah oui ça devient vraiment inquiétant = English:	Ah yes, it's getting quite worrying.	It is becoming really inquisitive.
French: Les appareils électroniques contiennent de nombreux produits toxiques, par exemple dans les batteries, les écrans, les processeurs. = English:	Electronic devices contain a number of toxic substances, for example in the batteries, screen and processors.	The electronic devices contain many toxic substances, for example in batteries, screens and processors.
French: Je l'admire beaucoup. = English:	I admire her a lot.	I admire her a lot.
French: Coucou, comment s'est passée ta journée ? = English:	Hi, how did you day go?	Coucou, comment s'est passée ta journée?
French: Sans menthe ? = English:	No mint?	Without menthe
French: ah ! = English:	Oh!	ah
French: Vous êtes étudiant? = English:	Are you a student?	You are a student.
