French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	Having already precise ideas, you can now proceed to the next step.
English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	Is that your dog that just wandered in over there?
English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	I've got my aches and pains, but at 93 I can't grumble
French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it is always a unique feeling, you make me nervous and i realize i will be better off away from you
French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Yes, he is here today.
French: Très bien. = English:	Very good.	Très bien
French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I got 12/20 at the control.
French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescuers are the people who can move the elevator to an upper floor and open the doors to let us out.
French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	We have already spent 3 hours at the pool.
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for the repair of this elevator.
French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice cream during your sleep.
French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I would like to visit Hawaii.
English: I'd better get drinking too then! = French:	Alors j'ai plutôt intérêt à boire aussi !	I'd better get drinking too then
English: Because they are hungry = French:	Parce qu'ils ont faim.	Because they are hungry
English: No, the car is at the garage being mended. = French:	Non, la voiture est en réparation au garage.	Yes
French: Très bonne idée. = English:	Very good idea.	Very good idea.
French: Je pense qu'il prendra aussi un mojito = English:	I thin he'll have a mojito too.	I think he will also take a mojito
French: C'est en train de devenir une sacrée fiesta! = English:	It's becoming a hell of a fiesta!	It is in the process of becoming a sacred fiesta.
French: Oui je pensais plutôt au bouton d'alarme. = English:	Yes I was thinking more about the alarm button.	No, I was rather at the alarm button.
English: I love it when they give free food! = French:	J'adore quand ils donnent de la nourriture gratuitement.	I love it when they give free food.
English: Well, you do work us hard and everything... = French:	Bon, c'est vrai que vous nous faites beaucoup travailler...	Well, you do work us hard and everything.
French: L'avantage c'est la liberté. = English:	The advantage is the freedom it gives.	The advantage is that it is free.
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French:	Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	I'm not convinced a restaurant is a great idea for such a potentially large gathering.
French: Vos copies et vos questions montrent que vous êtes brillante. = English:	Your classwork and your questions show that you are very bright.	Your copies and your questions show that you are brilliant.
English: Tobacco too? = French:	Avec du tabac aussi ?	Tobacco too
English: Why would I be ashamed? = French:	Pourquoi est-ce que j'aurais honte ?	I am not a good swimmer
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English:	I don't feel there's enough staff.	I have the impression that the personnel is not enough.
French: il est parti au bout d'un quart d'heure d'attente = English:	He left after waiting for a quarter of an hour.	he left after a quarter of an hour of waiting
English: I had to wing it at the meeting. = French:	J'ai dû improviser pendant la réunion.	I had to wing it at the meeting.
English: Do you want an outdoor party as the weather is so good = French:	Est-ce que tu veux une fête dehors? Le temps est si beau.	Yes, I'd like to have an outdoor party.
English: What sort of music were you thinking of? = French:	Tu pensais à quelle sorte de musique ?	I was thinking of classical music.
French: OK, parfait. = English:	Ok, perfect.	OK, perfect
English: What do you think? = French:	Qu'est-ce que vous en pensez ?	What do you think?
English: Don't worry, I wouldn't taste it myself. = French:	Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Don't worry, I wouldn't taste it myself.
French: Génial! = English:	Great!	The food was great.
French: Pas très bien non. = English:	Not really, no.	Not very well, not at all
English: The plan is to get a taxi to her flat. = French:	On a prévu de prendre un taxi jusqu'à chez elle.	The plan is to take a taxi to her flat.
French: Bon, à part ce petit problème de transport, comment vont tes relations avec ton patron. = English:	Well, aside the little transport problem, how are things with your boss?	Good, apart from this little transport problem, how are your relations with your boss?
French: Pas de soucis. = English:	No problem.	No worries
French: Ce cher Simon, comment va-t-il depuis tout ce temps ? = English:	Dear Simon, how is he since all this time?	Simon, how is he doing since all this time?
French: Et il y a souvent des enfants, parfois des adultes, qui sont bien contents que je leur donne un peu de pain à jeter aux canards. = English:	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	There are often children, sometimes adults, who are happy that I give them a bit of bread to throw to the ducks.
French: Le bus est trop long. = English:	The bus takes too long.	The bus is too long.
English: This liftoften breaks and the alarm bell does not work = French:	Cet ascenseur tombe souvent en panne et la sonnette d'alarme ne marche pas.	This lift often breaks and the alarm bell does not work
French: Bon voyage à vous également. = English:	Have a good trip too!	Good journey to you too!
French: Il y a des grèves en ce moment. = English:	There are strikes on at the moment.	There are protests going on at this moment.
English: What about you? = French:	Et vous ?	What about you?
English: I am not as young as I used to be = French:	Je ne suis plus aussi jeune qu'avant.	I am not as young as I used to be.
French: sur un même morceau de pain = English:	using the same piece of bread.	no
English: I have been a bartender for a few years and I've worked in a lot of different places. = French:	J'ai été barmaid depuis quelques années et j'ai travaillé à beaucoup d'endroits différents.	I have been a bartender for a few years and I've worked in a lot of different places.
French: Avec quelques olives et des rondelles de saucisson si possible = English:	With some olives and sausage slices if possible.	With some olives and some sausages if possible
English: Now what for dessert? = French:	Et maintenant, quoi comme dessert ?	Now what for dessert?
French: Il pourrait vous rassurer. = English:	That could help to reassure you.	He could reassure you.
French: Votre salaire en dépend. = English:	Your salary depends on it.	Your salary depends on it.
French: Fabuleux ! = English:	Great!	The Fab Four
French: Un taxi semble une bonne idée ! = English:	A taxi seems like a good idea!	A taxi seems like a good idea.
French: Je vois double depuis 5 ans environ. = English:	I've been seeing double for about 5 years.	I see double for about 5 years now
French: C'est un secret! = English:	It's a secret!	It's a secret
English: What do you usually do on holiday? = French:	Tu fais quoi d'habitude en vacances ?	I usually go to the beach.
English: Great! = French:	Génial !	Great!
English: Or both? = French:	Ou les deux ?	Or both
French: Ça devrait plaire! = English:	They should like that!	a devrait plaire
French: Je ne veux pas me fatiguer = English:	I don't want to get tired out.	I don't want to fatigue myself.
French: Bon rendez-vous. = English:	Have a good meeting.	Good meeting
English: but we do not want the clients to know we are stuck in the lift do we? = French:	Mais nous ne voulons pas que nos clients sachent que nous sommes coincées dans l'ascenseur, n'est-ce pas ?	no
French: Sinon, oui je me suis fait quelques amis ici avec qui je parle musique, littérature, sans oublier des parties d'échec ! = English:	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	I have made some friends here with whom I can talk about music, literature and not forgetting the games of échecs.
French: Merci de m'avoir écouté pour une fois! = English:	Thanks for listening to me for once!	I am grateful to have been heard once.
French: Vous devriez demander un verre de vin. = English:	You should ask for a glass of wine.	You should ask for a glass of wine.
French: allez je finis mon service = English:	Right, my shift's up.	I'm going to finish my service now
French: Pas grave. = English:	Never mind.	Not serious
French: Tu veux bien aller nous chercher des boissons? = English:	Are you up for fetching us some drinks?	Tu veux bien aller nous chercher des boissons?
French: Bon, alors offrez des lentilles de contact à votre étudiant. = English:	Ok, then offer contact lentils to your student?	Well then, give your student some contact lenses.
French: Je veux dire qu'avant d'arriver en Australie, il nous reste à peine douze ou treize heures de vol! = English:	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	Before arriving in Australia, we had only a dozen or so flights left.
French: Peut être qu'il sera possible de te proposer quelque chose pour te soulager ? = English:	Perhaps they can suggest something to relieve the pain?	Maybe it will be possible to offer something to relieve your pain.
English: Do you have your phone or watch? = French:	Vous avez votre téléphone ou votre montre ?	Have you got your phone or watch?
English: I must get home in time to prepare lunch or I'll get those fainting spells again = French:	Je dois être rentrée à la maison pour préparer le déjeuner sinon je vais encore faire un malaise.	I must get home in time to prepare lunch or I'll get those fainting spells again
English: the only people buy your crappy paintings is because they feel pity for you = French:	La seule raison pour laquelle les gens achètent tes peintures merdiques c'est parce qu'elles ont pitié de toi.	the only people who buy your crappy paintings is because they feel pity for you
English: Only kidding... but they do allow you to bring your own entertainment if you want. = French:	Je blague... mais ils autorisent qu'on vienne avec ses propres animations.	Only kidding, but they do allow you to bring your own entertainment if you want.
French: Avec les œufs ? = English:	With eggs?	With the ostriches
French: Et dix points sur la capacité à avoir travaillé en équipe. = English:	And ten points for your ability to work as a team.	And ten points on the ability to work in an team.
English: They don't call you Einstein for ... No they don't call you Einstein at all. = French:	Si on t'appelle Einstein, c'est... Non mais en fait on ne t'appelle pas Einstein du tout.	No they don't call you Einstein at all.
English: I think this consultation has been worth every penny. = French:	Je pense que cette conversation valait largement son prix.	I think this consultation has been worth every penny.
French: Voilà le fenouil. = English:	There's the fennel.	This is the fenouil.
English: It would be funny though and it would get other students to pay attention = French:	Ce serait drôle pourtant et cela rendrait les autres étudiants plus attentifs.	It would be funny though and it would get other students to pay attention.
French: Mais je vais me prendre un whisky quand même. = English:	But I'm going to have a whisky anyway.	I'm going to have a whisky anyway.
English: Please just make yourself at home. = French:	Faites comme chez vous.	Just make yourself at home.
English: I'm hopeless when it comes to directions. = French:	Je n'ai aucun sens de l'orientation.	I'm hopeless when it comes to directions.
English: Why were you cooking cream? = French:	Pourquoi faisiez-vous de la crème ?	Because they wanted to make a dessert.
English: Especially at our ages! = French:	Surtout à notre âge !	Especially at our age...
English: Bye = French:	Au revoir.	Bye
French: Faisons ça. = English:	Let's do that.	Fancy that?
French: Ce sera mon dernier mot = English:	That'll be my last word on the matter.	This will be my last word
English: Really! = French:	Vraiment !	
English: You can never get any peace around here! = French:	On ne peut jamais être tranquille, ici !	You can never get any peace around here.
French: Je suis une starsur instargram et autres réseaux sociaux ! = English:	I'm a star on Instagram and other social networking sites!	I am an Instagram star and other social media stars.
English: Chocolate? = French:	Au chocolat ?	The chocolate is very good.
French: De quelle époque ? = English:	From which period?	From what era is it?
French: Je suis très inquiet face à la disparition des abeilles... = English:	I'm very worried about the disappearance of bees...	I am very worried about the disappearance of bees.
English: Quickly Tristan take hold of my arm, I will assemble my parachute = French:	Vite Tristan, accrochez-vous à mon bras, je vais préparer mon parachute.	Quickly Tristan take hold of my arm, I will assemble my parachute.
English: What do you suggest ...other than staying by the pool of course! = French:	Qu'est-ce que tu proposes... à part rester au bord de la piscine, bien sûr !	propos
French: Vous croyez que je devrais prendre des vacances? = English:	Do you think I should take some holiday?	I think I should take a vacation.
English: Uh huh... go on. = French:	Très bien, poursuivez.	Uh huh, go on.
English: I can give you some anti depressants. = French:	Je peux vous donner des anti-dépresseurs.	I can give you some antidepressants.
French: Ah oui ça devient vraiment inquiétant = English:	Ah yes, it's getting quite worrying.	It is becoming really inquisitive.
French: Les appareils électroniques contiennent de nombreux produits toxiques, par exemple dans les batteries, les écrans, les processeurs. = English:	Electronic devices contain a number of toxic substances, for example in the batteries, screen and processors.	The electronic devices contain many toxic substances, for example in batteries, screens and processors.
French: Je l'admire beaucoup. = English:	I admire her a lot.	I admire her a lot.
English: And don't worry, I'll do it quickly! = French:	Ne t'inquiète pas, je vais le faire rapidement.	And don't worry, I'll do it quickly.
French: Coucou, comment s'est passée ta journée ? = English:	Hi, how did you day go?	Coucou, comment s'est passée ta journée?
French: Sans menthe ? = English:	No mint?	Without menthe
English: I build sand castles eat lollies and go for walks, as I said. = French:	Je construis des châteaux de sable, je mange des glaces et je fais des balades, comme je te l'ai dit.	I build sand castles, eat lollies and go for walks, as I said.
English: But the reality is bit less romantic - it's mostly deafness, forgetfulness, and aches and pains. = French:	Mais la réalité est un peu moins romantique. Elle est faite de surdité, de trous de mémoire et de douleurs.	But the reality is a bit less romantic : it's mostly deafness, forgetfulness, and aches and pains.
French: ah ! = English:	Oh!	ah
English: What a relief! = French:	Quel soulagement !	What a relief!
French: Vous êtes étudiant? = English:	Are you a student?	You are a student.
English: OK. = French:	OK.	OK
English: But there's still some space for some more berries if you like. = French:	Mais il y a encore de la place pour d'autres baies si tu veux.	There is still some space for some more berries if you like.
French: Sur les chats ? = English:	About cats?	On the banks
French: Oui, mais économisons-là car cela consomme beaucoup de batterie. = English:	Yes, but use it sparingly, because it uses lots of battery.	Yes, but save battery because it consumes a lot of power.
English: Could I also look at the food menu, as perhaps I should eat something? = French:	Puis-je également jeter un œil au menu, car je devrais peut-être manger quelque chose.	I would also like to look at the food menu, as perhaps I should eat something.
