model	task	template	fewshot	seed	postproc	timestamp	filename	comet
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.newline-cut-custom-truncate.tsv	0.5898
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234	newline-cut	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.newline-cut.tsv	0.3254
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234		2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.tsv	0.0635
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.newline-cut-custom-truncate.tsv	0.6139
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234	newline-cut	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.newline-cut.tsv	0.4748
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234		2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.English-French.tsv	0.3280
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.English-French.newline-cut-custom-truncate.tsv	0.6325
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234	newline-cut	2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.English-French.newline-cut.tsv	0.6166
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234		2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.English-French.tsv	0.5965
bloom	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.English-French.newline-cut-custom-truncate.tsv	0.6343
bloom	diabla	xglm-source+target	1	1234	newline-cut	2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.English-French.newline-cut.tsv	0.4906
bloom	diabla	xglm-source+target	1	1234		2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.English-French.tsv	0.3421
mt0-xxl	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.English-French.newline-cut-custom-truncate.tsv	-0.0232
mt0-xxl	diabla	xglm-source+target	1	1234	newline-cut	2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.English-French.newline-cut.tsv	-0.0184
mt0-xxl	diabla	xglm-source+target	1	1234		2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.English-French.tsv	-0.0184
opt	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.English-French.newline-cut-custom-truncate.tsv	0.1916
opt	diabla	xglm-source+target	1	1234	newline-cut	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.English-French.newline-cut.tsv	0.1283
opt	diabla	xglm-source+target	1	1234		2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.English-French.tsv	0.1231
t0	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.English-French.newline-cut-custom-truncate.tsv	-0.5847
t0	diabla	xglm-source+target	1	1234	newline-cut	2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.English-French.newline-cut.tsv	-0.5845
t0	diabla	xglm-source+target	1	1234		2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.English-French.tsv	-0.5845
