model	task	template	fewshot	seed	postproc	timestamp	filename	comet
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.newline-cut-custom-truncate.tsv	0.7423
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234	newline-cut	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.newline-cut.tsv	0.5883
bloom	diabla_1_shot_context_opposite	xglm-source+target	1	1234		2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_opposite.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.tsv	0.5184
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.newline-cut-custom-truncate.tsv	0.7513
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234	newline-cut	2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.newline-cut.tsv	0.6708
bloom	diabla_1_shot_context_random	xglm-source+target	1	1234		2022-12-26T10_51_01	examples.model=bloom.task=diabla_1_shot_context_random.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-26T10_51_01.French-English.tsv	0.6166
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.French-English.newline-cut-custom-truncate.tsv	0.7607
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234	newline-cut	2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.French-English.newline-cut.tsv	0.7591
bloom	diabla_1_shot_context_same	xglm-source+target	1	1234		2022-12-08T20_33_42	examples.model=bloom.task=diabla_1_shot_context_same.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-12-08T20_33_42.French-English.tsv	0.7190
bloom	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.French-English.newline-cut-custom-truncate.tsv	0.7576
bloom	diabla	xglm-source+target	1	1234	newline-cut	2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.French-English.newline-cut.tsv	0.6375
bloom	diabla	xglm-source+target	1	1234		2022-10-30T08_17_13	examples.model=bloom.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2022-10-30T08_17_13.French-English.tsv	0.6138
mt0-xxl	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.French-English.newline-cut-custom-truncate.tsv	0.3561
mt0-xxl	diabla	xglm-source+target	1	1234	newline-cut	2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.French-English.newline-cut.tsv	0.3655
mt0-xxl	diabla	xglm-source+target	1	1234		2023-02-09T08_15_39	examples.model=mt0-xxl.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-09T08_15_39.French-English.tsv	0.3655
opt	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut-custom-truncate.tsv	0.6395
opt	diabla	xglm-source+target	1	1234	newline-cut	2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.French-English.newline-cut.tsv	0.4301
opt	diabla	xglm-source+target	1	1234		2023-01-14T13_54_18	examples.model=opt.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-01-14T13_54_18.French-English.tsv	0.3894
t0	diabla	xglm-source+target	1	1234	newline-cut-custom-truncate	2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.French-English.newline-cut-custom-truncate.tsv	-0.0391
t0	diabla	xglm-source+target	1	1234	newline-cut	2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.French-English.newline-cut.tsv	-0.0321
t0	diabla	xglm-source+target	1	1234		2023-02-07T14_42_44	examples.model=t0.task=diabla.templates=xglm-source+target.fewshot=1.seed=1234.timestamp=2023-02-07T14_42_44.French-English.tsv	-0.0321
