English: Is that your dog that's just wandered in over there? = French: Est-ce que c'est votre chien qui vient de rentrer par là ?	Do you have any specific ideas?	did you already have precise ideas?
English: I will go and grab them for you = French: Je vais aller vous le chercher.	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always one way, you annoy me and I realize that I would be much better away from you.
English: I'm gonna go and buy a brand new dress to wear! = French: J'y vais, je vais m'acheter une robe toute neuve !	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: Vous partez pour des vacances? = English: Are you off on holiday?	Very good.	Very well.
English: I don't know the word in French. = French: Je ne connais pas le mot en français.	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
English: I m very tempted to yell too = French: J'ai bien envie de hurler moi aussi.	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescue team is the people who can move the elevator to another floor and open the doors to free us.
French: Parce que l'histoire des premiers hommes qui débarquent sur Mars et découvre des traces d'une très vieille civilisation, c'est nettement plus intéressant que ton histoire de généalogiste et de trésors ! = English: Because the story of the first men who arrive on Mars and discover traces of an ancient civilisation is far more interesting than your story about genealogists and treasure!	Well yeah , we've already spent 3 hours by the pool.	Yes yes, we've already spent 3 hours at the pool.
English: It was a woman in a black coat carrying an umbrella = French: C'était une femme dans un manteau noir et qui avait un parapluie.	You're not responsible for repairing the lift!	You are not responsible for repairing this elevator!
English: Probably not. = French: Probablement pas.	So you eat ice-cream in your sleep?	You eat ice cream in your sleep?
French: Qu'est-ce qui vous amène ici ? = English: What brings you here?	I would like to go to visit Hawaii!	I would like to visit Hawaii!
French: Parce qu'aujourd'hui, on ne sait pas les produire sans polluer. = English: Because today we don't yet know how to make them without polluting.	Very good idea.	Good idea.
English: What is on the next order? = French: C'est quoi la commande suivante ?	I thin he'll have a mojito too.	I think he will also take a mojito.
French: Moi aussi, avec mon dentier et mes énormes lunettes, je ne suis pas très séduisante... = English: I'm not very seductive either with my false teeth and huge glasses.	It's becoming a hell of a fiesta!	It's turning into a real party!
French: Pas des petits pois quand même ! = English: Not peas, did you?	Yes I was thinking more about the alarm button.	Yes, I was thinking of the alarm button.
English: C'est la vie = French: C'est la vie.	The advantage is the freedom it gives.	The advantage is freedom.
French: D'ailleurs, il est l'heure de mon patient suivant. = English: Besides, it's time for my next patient.	Your classwork and your questions show that you are very bright.	Your copies and your questions show that you are brilliant.
French: J'aime beaucoup la bière amère = English: I do like bitter beer.	I don't feel there's enough staff.	I feel that the staff is not enough.
French: D'accord. = English: Ok.	He left after waiting for a quarter of an hour.	he left after fifteen minutes of waiting
English: All it does is give me a blocked nose and insect bites. = French: Tout ce qu'elle me donne c'est un nez bouché et des piqûres d'insectes.	Ok, perfect.	OK, perfect.
French: Mes parents ne voudront jamais me prêter une telle somme. = English: My parents won't want to lend me such a sum.	Great!	Fantastic!
