English: With pleasure! = French: avec plaisir! ### French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	did you have any ideas already?
French: Vous pourrez toujours changer d'avis ! = English: You can always change your mind! ### English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là ? = English: Is that your dog that's just wandered in over there?
French: Aussi bien que l'on peut l'espérer. = English: I'm as well as can be expected. ### English: I've got my aches and pains but at 93 I can't grumble. = French:	J'ai un peu mal partout mais à 93 ans je n'ai pas à me plaindre.	J'ai mes douleurs, mais à 93 ans, je ne peux pas me plaindre.
English: I demand esteem and mutual respect in a couple. = French: J'exige de la considération et du respect mutuel dans un couple. ### French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always one way, you annoy me and I realize that I would be much better off away from you
English: What do you want us to work on today if we are alone? = French: Que souhaitez vous faire aujourd'hui comme travail si nous sommes seuls ? ### French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
English: On your left! = French: À votre gauche ! ### French: Très bien. = English:	Very good.	Very good.
English: Yes, please do. = French: Oui, je vous en prie. ### French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
English: Ok, I'm not sure we need paramedics, but let's give it a go. = French: OK, je ne suis pas sûre que nous ayons besoin des secours, mais on peut essayer. ### French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The rescue team is the people who can move the elevator to another floor and open the doors to let us out.
English: Oh you mean go out? = French: Ah tu veux dire sortir ? ### French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes yes, we have already spent 3 hours at the pool.
English: I wouldn't dare to accuse you of anything. = French: Je ne me permettrais pas de vous accuser de quoi que ce soit. ### French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for repairing this elevator!
English: And then there was no more ice-cream to eat at all! = French: Et ensuite il n'y avait plus du tout de glace à manger. ### French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	You eat ice-cream while you sleep?
