French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: J'exige de la considération et du respect mutuel dans un couple. = English: I demand esteem and mutual respect in a couple.	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always one way, you annoy me and I realize that I would be much better off away from you
French: Que souhaitez vous faire aujourd'hui comme travail si nous sommes seuls ? = English: What do you want us to work on today if we are alone?	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today?
French: À votre gauche ! = English: On your left!	Very good.	Very good.
French: Oui, je vous en prie. = English: Yes, please do.	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
French: OK, je ne suis pas sûre que nous ayons besoin des secours, mais on peut essayer. = English: Ok, I'm not sure we need paramedics, but let's give it a go.	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The paramedics are the agents who can move the elevator to another floor and open the doors to free us.
French: Ah tu veux dire sortir ? = English: Oh you mean go out?	Well yeah , we've already spent 3 hours by the pool.	Yes yes, we have already spent 3 hours at the pool.
French: Je ne me permettrais pas de vous accuser de quoi que ce soit. = English: I wouldn't dare to accuse you of anything.	You're not responsible for repairing the lift!	You are not responsible for repairing this elevator!
French: Et ensuite il n'y avait plus du tout de glace à manger. = English: And then there was no more ice-cream to eat at all!	So you eat ice-cream in your sleep?	So you eat ice-cream while you sleep?
French: Nous avons exploré des volcans sur l'île, nous nous sommes allongés sur la plage et nous avons profité de magnifiques couchers de soleil. = English: We explored the volcanoes on the island , lay on the beach and enjoyed the glorious sunsets.	I would like to go to visit Hawaii!	I would like to visit Hawaii!
French: Une fois qu'on aura atteint la route, ce sera facile. = English: Once we rach the road it will be easy.	Very good idea.	Good idea.
French: Mon copain doit venir me rejoindre = English: My boyfriend will be joining me.	I thin he'll have a mojito too.	I think he will also take a mojito.
French: En fait, ça me dirait bien. = English: Actually, I would quite like your help.	It's becoming a hell of a fiesta!	It's turning into quite a party!
French: Ou alors on pourrait simplement appuyez sur le bouton d'alarme. = English: Or we could just press the alarm button.	Yes I was thinking more about the alarm button.	Yes, I was thinking more about the alarm button.
French: Je suis informaticien, et je travaille aussi de chez moi. = English: I work in IT and I work from home too.	The advantage is the freedom it gives.	The advantage is the freedom.
French: Vous n'êtes pas dans ma tête ! = English: You're not in my head!	Your classwork and your questions show that you are very bright.	Your copies and questions show that you are brilliant.
French: Qu'est-ce qu'il s'est passé exactement ? = English: What exactly has happened?	I don't feel there's enough staff.	I feel that the staff is not enough.
French: Est-ce que ton chef s'est vraiment énervé ? = English: Was your boss very cross?	He left after waiting for a quarter of an hour.	he left after waiting for 15 minutes
French: Non je ne trouve pas. = English: no I dont	Ok, perfect.	OK, perfect.
French: Je vais peut-être l'appeler tout de suite et commencer à instiller cette idée dans son esprit. = English: I might go call him now and start planting the seed of that idea	Great!	Great!
French: Tu as l'air un peu inquiet, tout va bien ? = English: You look a little worried, are you ok?	Not really, no.	Not very well no.
French: Je suis contente que tu aies eu une bonne journée. = English: I'm glad you had a good day.	Well, aside the little transport problem, how are things with your boss?	Well, apart from this little problem with transport, how are your relations with your boss.
French: Sans menthe ? = English: No mint?	No problem.	No worries.
French: Oui, nous ne sommes plus des perdreaux de l'année, maintenant. = English: Yes, we're all no spring chickens anymore	Dear Simon, how is he since all this time?	How's dear Simon been since all this time?
French: J'en apporte toujours trop. = English: I always bring too much.	And there are often children, sometimes even adults, who are happy to be given bread to throw to the ducks.	And there are often children, sometimes adults, who are glad that I give them a little bread to throw to the ducks.
French: Vous avez bien fait de prendre la voiture. = English: You did the right thing taking the car.	The bus takes too long.	The bus is too long.
French: Très bonnes vacances ! = English: Have a wonderful holiday!	Have a good trip too!	Have a good trip to you too.
French: J'ai raté mon bus aujourd'hui. = English: I missed my bus today.	There are strikes on at the moment.	There are strikes at the moment.
French: l'idée est de faire se rejoindre trois canetons = English: The idea is to bring together three ducklings	using the same piece of bread.	on the same piece of bread
French: Je prendrai bien une caipirinha. = English: I'd quite like a caipirinha.	With some olives and sausage slices if possible.	With some olives and slices of ham if possible.
French: Il y a un stage de révision la semaine prochaine. = English: There's a revision course next week.	That could help to reassure you.	He could reassure you.
French: La boite en dépend. = English: The company's depending on it.	Your salary depends on it.	Your salary depends on it.
French: Hawai ? = English: Hawaii?	Great!	Fabulous!
French: Qu'est-ce que vous avez prévu de faire pendant vos vacances ? = English: What are you planning to do on your holiday?	A taxi seems like a good idea!	A taxi seems like a good idea!
French: Est-ce qu'il y a des antécédents de ce problème dans votre famille ? = English: Is there a history of this problem in your family?	I've been seeing double for about 5 years.	I have double vision for about 5 years.
French: Et puis je pensais que tu m'aimais en secret depuis toujours... = English: Plus I thought you had secretly always loved me...	It's a secret!	It's a secret!
French: Saumon fumé avec crème fraîche et œufs de morue en entrée. = English: Smoked salmon with creme fraiche and cods roe is the starter.	They should like that!	It should be good!
French: Je ne peux pas lire lorsque les pages sont mouillées. = English: I can't read when the pages are wet.	I don't want to get tired out.	I don't want to get tired.
French: Super ! = English: Great!	Have a good meeting.	Good meeting.
French: Pêche sous marine, promenades en bateau...? = English: Underwater fishing, boat trips...?	Anyway, yes I've made a couple of friends here I chat to about music and literature... not to mention chess games!	Otherwise, yes, I have made a few friends here with whom I talk about music, literature, without forgetting chess games!
French: Faisons ça. = English: Let's do that.	Thanks for listening to me for once!	Thank you for listening to me for once!
French: Ils vont passer avec les boissons bientôt. = English: They'll be coming round with the drinks soon.	You should ask for a glass of wine.	You should ask for a glass of wine.
French: pas seulement, aussi des pizzas = English: Not only that, pizza too.	Right, my shift's up.	I finish my shift.
French: Vous n'avez pas de saucisson ? = English: You don't have any sausage?	Never mind.	No problem.
French: Ah! = English: Oh!	Are you up for fetching us some drinks?	Could you go and get us some drinks?
French: Ce serait stupide. = English: That would be silly	Ok, then offer contact lentils to your student?	Okay, so give your student contact lenses.
French: 12h30... je ne comprend pas. = English: 12:30... i don't get it?	I mean that there are only twelve or thirteen hours of the flight left before arriving in Australia!	I mean that before we get to Australia, we have barely twelve or thirteen hours of flight left!
French: En as tu parlé aux infirmières et au médecin de la maison de retraite ? = English: Have you spoken to the retirement home's nurses or doctor about it?	Perhaps they can suggest something to relieve the pain?	Maybe we can find something to help you?
French: Des poulets ? = English: Chickens?	With eggs?	With the eggs?
French: Dix points pour l'exposé oral qui suit. = English: Ten points for the oral presentation that follows.	And ten points for your ability to work as a team.	And ten points for the ability to work in a team.
French: Et le plat du jour? = English: And the special?	There's the fennel.	Here is the fennel.
French: Très bien. = English: Very well.	But I'm going to have a whisky anyway.	But I will
French: D'accord. = English: Ok.	Let's do that.	Let's do that.
French: Vous êtes toujours debout, mais je vous conseille d'aller vous coucher. = English: You're still standing, but I advise you to go to bed.	That'll be my last word on the matter.	That will be my last word.
French: Je me dois de gagner des abonnées ! = English: I have to earn myself followers!	I'm a star on Instagram and other social networking sites!	I am a star on Instagram and other social networks!
French: Quelles sont-elles ? = English: Which are they?	From which period?	Of what period?
French: Et les abeilles ! = English: And bees!	I'm very worried about the disappearance of bees...	I am very worried about the disappearance of bees...
French: Je vous conseille de discuter de la situation avec vos collègues et d'échanger vos expériences. = English: May I suggest you speak to you colleagues about the situation and exchange experiences?	Do you think I should take some holiday?	Do you think I should take a vacation?
French: Nous n'avons plus aucun moyen de communiquer avec qui que ce soit. = English: We have no way of communicating with anyone.	Ah yes, it's getting quite worrying.	Yes, it is really becoming worrying.
French: Parce qu'aujourd'hui, on ne sait pas les produire sans polluer. = English: Because today we don't yet know how to make them without polluting.	Electronic devices contain a number of toxic substances, for example in the batteries, screen and processors.	Electronic devices contain many toxic products, for example in batteries, screens, processors.
French: Mais ses critiques sont toujours justifiées. = English: But her criticism is always justified.	I admire her a lot.	I admire her a lot.
French:  = English: 	Hi, how did you day go?	Hello, how was your day?
French: Dans un joli verre avec une paille colorée si vous en avez ! = English: In a nice glass with a funky straw if you have one!	No mint?	No mint?
French: Si tu vas me chercher un sandwich jambon fromage, je vais jouer avec toi après. = English: If you get me a ham and cheese sandwich, I'll play a game after.	Oh!	oh!
