English: Is that your dog that's just wandered in over there? = French: Est-ce que c'est votre chien qui vient de rentrer par là ? ### French: aviez vous déjà des idées précises ? = English:	Do you have any specific ideas?	did you have any specific ideas? = French: aviez-vous déjà des idées précises?
English: I will go and grab them for you = French: Je vais aller vous le chercher. ### French: avec toi c'est toujours à sens unique, tu m'énerve et je réalise que je serai bien mieux loin de toi = English:	It's always one way with you. You irritate me and I realise that I would be much better far away from you.	with you it's always a one-way street, you annoy me and I realize that I will be much better off without you
English: I'm gonna go and buy a brand new dress to wear! = French: J'y vais, je vais m'acheter une robe toute neuve ! ### French: Savez vous si le professeur de physique est là aujourd'hui ? = English:	Do you know if the physics teacher is here today?	Do you know if the physics teacher is here today? = French: Savez-vous si le professeur de physique est là aujourd'hui?
French: Vous partez pour des vacances? = English: Are you off on holiday? ### French: Très bien. = English:	Very good.	Very well.
English: I don't know the word in French. = French: Je ne connais pas le mot en français. ### French: Je ne comprends pas pourquoi je n'ai eu que 12/20 au contrôle. = English:	I don't understand why I only got 12/20 on the test.	I don't understand why I only got 12/20 on the test.
English: I m very tempted to yell too = French: J'ai bien envie de hurler moi aussi. ### French: Les secours sont les agents capables de faire bouger l'ascenseur jusqu'à un étage et de faire ouvrir les porte pour nous libérer. = English:	Help refers to the people capable of moving the lift to a floor and of getting the doors open to free us.	The firemen are the agents capable of moving the elevator up to a floor and opening the doors for us to escape.
French: Parce que l'histoire des premiers hommes qui débarquent sur Mars et découvre des traces d'une très vieille civilisation, c'est nettement plus intéressant que ton histoire de généalogiste et de trésors ! = English: Because the story of the first men who arrive on Mars and discover traces of an ancient civilisation is far more interesting than your story about genealogists and treasure! ### French: Oui oui, on a déjà passé 3 heures à la piscine. = English:	Well yeah , we've already spent 3 hours by the pool.	Yes yes, we have already spent 3 hours in the pool.
English: It was a woman in a black coat carrying an umbrella = French: C'était une femme dans un manteau noir et qui avait un parapluie. ### French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English:	You're not responsible for repairing the lift!	You are not responsible for the repair of this elevator!
English: Probably not. = French: Probablement pas. ### French: Vous mangez donc des glaces pendant votre sommeil ? = English:	So you eat ice-cream in your sleep?	Do you eat ice cream during your sleep?
French: Qu'est-ce qui vous amène ici ? = English: What brings you here? ### French: J'aimerai bien visiter Hawai ! = English:	I would like to go to visit Hawaii!	I'd like to visit Hawaii!
