model	task	template	fewshot	seed	postproc	timestamp	filename	BLEU
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	2.29
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	1.89
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	1.49
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	0.69
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	0.67
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	0.52
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	17.68
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234	newline-cut	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut.tsv	13.48
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	0	1234		2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.tsv	9.42
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	0	1234	newline-cut-custom-truncate	2022-08-25T22_20_52	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=0.seed=1234.timestamp=2022-08-25T22_20_52.newline-cut-custom-truncate.tsv	13.58
