model	task	template	fewshot	seed	postproc	timestamp	filename	comet
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	1	1234	newline-cut-custom-truncate	2022-08-23T19_18_54	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_54.newline-cut-custom-truncate.tsv	-0.6619
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	1	1234	newline-cut	2022-08-23T19_18_54	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_54.newline-cut.tsv	-0.6637
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-source+target	1	1234		2022-08-23T19_18_54	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_54.tsv	-0.6727
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	1	1234	newline-cut-custom-truncate	2022-08-23T19_18_53	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_53.newline-cut-custom-truncate.tsv	-0.7295
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	1	1234	newline-cut	2022-08-23T19_18_53	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_53.newline-cut.tsv	-0.7319
bloom-1b1	wmt14_fr_en	a_good_translation-en-fr-target	1	1234		2022-08-23T19_18_53	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-en-fr-target.fewshot=1.seed=1234.timestamp=2022-08-23T19_18_53.tsv	-0.7526
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	1	1234	newline-cut-custom-truncate	2022-08-23T19_19_02	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_19_02.newline-cut-custom-truncate.tsv	-0.2458
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	1	1234	newline-cut	2022-08-23T19_19_02	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_19_02.newline-cut.tsv	-0.2436
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-source+target	1	1234		2022-08-23T19_19_02	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-source+target.fewshot=1.seed=1234.timestamp=2022-08-23T19_19_02.tsv	-0.2507
bloom-1b1	wmt14_fr_en	a_good_translation-fr-en-target	1	1234	newline-cut-custom-truncate	2022-08-23T19_19_02	examples.model=bloom-1b1.task=wmt14_fr_en.templates=a_good_translation-fr-en-target.fewshot=1.seed=1234.timestamp=2022-08-23T19_19_02.newline-cut-custom-truncate.tsv	-0.2277
