model	task	template	fewshot	seed	postproc	timestamp	filename	BLEU
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	2.09
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	2.10
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-source+target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	2.10
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	1.36
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234	newline-cut	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut.tsv	1.37
bloom-1b1	wmt14_hi_en	a_good_translation-en-hi-target	1	1234		2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-en-hi-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.tsv	1.38
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.newline-cut-custom-truncate.tsv	7.97
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234	newline-cut	2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.newline-cut.tsv	7.99
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-source+target	1	1234		2022-09-14T15_42_40	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-source+target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_40.tsv	7.99
bloom-1b1	wmt14_hi_en	a_good_translation-hi-en-target	1	1234	newline-cut-custom-truncate	2022-09-14T15_42_49	examples.model=bloom-1b1.task=wmt14_hi_en.templates=a_good_translation-hi-en-target.fewshot=1.seed=1234.timestamp=2022-09-14T15_42_49.newline-cut-custom-truncate.tsv	8.35
